_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PostalCode,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,cwelcc_flag,Longitude,Latitude
960,14220,Village Green Child Care Centre,Non Profit Agency,275 VILLAGE GREEN SQ,M1S,Other,,10,20,32,0,0,62,Y,Y,-79.283200861,43.779597568
961,14226,Manor Montessori School,Commercial Agency,9 ELVINA GDNS,M4P,Other,,0,0,25,0,0,25,N,N,-79.391061296,43.711642191
962,14227,Momentum Montessori Regent Park Inc,Commercial Agency,237 SACKVILLE ST,M5A,Other,,0,15,47,24,0,86,N,Y,-79.362798036,43.660387372
963,14228,The Junior Academy,Commercial Agency,2454 BAYVIEW AVE,M2L,Other,,0,8,9,0,0,17,N,Y,-79.3834683972,43.7415259823
964,14229,Blue Bell Academy,Commercial Agency,2189 GERRARD ST E,M4E,Other,,0,20,0,0,0,20,N,Y,-79.3009853815,43.6835879986
965,14231,Eyet - Crescent Town Centre,Non Profit Agency,2A THE MARKET PL,M4C,Other,,10,25,32,0,0,67,Y,Y,-79.292361448,43.695812924
966,14239,Kodomoen Childcare Centre,Non Profit Agency,630 SPADINA AVE,M5S,Place of Worship,Knox Presbyterian Church,0,0,24,0,0,24,N,Y,-79.40239024,43.662540632
967,14243,The Castle Kinder Garden Inc,Commercial Agency,4480 EGLINTON AVE W,M9A,Other,,0,15,26,0,0,41,N,N,-79.5384527995,43.6806083657
968,14244,Beth Sholom First Foundations Community Preschool,Commercial Agency,1445 EGLINTON AVE W,M6C,Synagogue,,0,40,48,0,0,88,N,Y,-79.437711305,43.698087274
969,14245,Tiny Hoppers Park Lawn,Commercial Agency,20 PARK LAWN RD,M8V,Other,,10,45,64,0,0,119,N,Y,-79.483452308,43.623572258
970,14257,Torah Tots Childcare,Non Profit Agency,37 SOUTHBOURNE AVE,M3H,Other,,0,15,56,0,0,71,N,Y,-79.4312253639,43.738553857
971,14258,Macaulay - Marlee Child Care Centre,Non Profit Agency,145 MARLEE AVE,M6B,Other,,10,15,24,0,0,49,Y,Y,-79.4410303906,43.7032633519
972,14272,The Little Campus,Commercial Agency,48 ROSEMEADE AVE,M8Y,Other,,10,58,68,0,0,136,N,N,-79.5027426159,43.6285994926
973,14274,Les Etoiles Brillantes 2,Non Profit Agency,100 RAVEL RD,M2H,Public Elementary (French),Ecole Elementaire Paul-Demers,0,0,0,26,30,56,Y,Y,-79.367340382,43.791951831
974,14275,Denisa Childcare,Commercial Agency,1065 COLLEGE ST,M6H,Commercial Building,,0,14,17,0,0,31,N,Y,-79.431173605,43.65267056
